Code,Name
005930,삼성전자
000660,SK하이닉스
005380,현대차
005935,삼성전자우
373220,LG에너지솔루션
207940,삼성바이오로직스
402340,SK스퀘어
012450,한화에어로스페이스
000270,기아
329180,HD현대중공업
034020,두산에너빌리티
105560,KB금융
028260,삼성물산
068270,셀트리온
035420,NAVER
042660,한화오션
055550,신한지주
012330,현대모비스
015760,한국전력
032830,삼성생명
010130,고려아연
267260,HD현대일렉트릭
006400,삼성SDI
086790,하나금융지주
009540,HD한국조선해양
005490,POSCO홀딩스
035720,카카오
010140,삼성중공업
064350,현대로템
006800,미래에셋증권
316140,우리금융지주
000810,삼성화재
086520,에코프로
034730,SK
298040,효성중공업
009150,삼성전기
196170,알테오젠
051910,LG화학
247540,에코프로비엠
138040,메리츠금융지주
003670,포스코퓨처엠
011200,HMM
086280,현대글로비스
033780,KT&G
096770,SK이노베이션
042700,한미반도체
272210,한화시스템
267250,HD현대
024110,기업은행
010120,LS ELECTRIC
066570,LG전자
047810,한국항공우주
352820,하이브
017670,SK텔레콤
0126Z0,삼성에피스홀딩스
030200,KT
277810,레인보우로보틱스
003550,LG
000150,두산
018260,삼성에스디에스
307950,현대오토에버
259960,크래프톤
010950,S-Oil
039490,키움증권
071050,한국금융지주
000720,현대건설
298380,에이비엘바이오
000250,삼천당제약
047050,포스코인터내셔널
323410,카카오뱅크
278470,에이피알
079550,LIG넥스원
005830,DB손해보험
005387,현대차2우B
005940,NH투자증권
326030,SK바이오팜
377300,카카오페이
950160,코오롱티슈진
000100,유한양행
003490,대한항공
003230,삼양식품
007660,이수페타시스
000880,한화
090430,아모레퍼시픽
443060,HD현대마린솔루션
161390,한국타이어앤테크놀로지
016360,삼성증권
180640,한진칼
058470,리노공업
028300,HLB
141080,리가켐바이오
454910,두산로보틱스
032640,LG유플러스
087010,펩트론
064400,LG씨엔에스
029780,삼성카드
006260,LS
001040,CJ
028050,삼성E&A
128940,한미약품
078930,GS
021240,코웨이
005385,현대차우
214370,케어젠
022100,포스코DX
011070,LG이노텍
034220,LG디스플레이
241560,두산밥캣
088980,맥쿼리인프라
267270,HD건설기계
138930,BNK금융지주
001440,대한전선
240810,원익IPS
066970,엘앤에프
175330,JB금융지주
140410,메지온
052690,한전기술
214150,클래시스
036570,엔씨소프트
271560,오리온
009830,한화솔루션
450080,에코프로머티
108490,로보티즈
000990,DB하이텍
082740,한화엔진
214450,파마리서치
251270,넷마블
039030,이오테크닉스
011790,SKC
002380,KCC
062040,산일전기
004020,현대제철
310210,보로노이
051900,LG생활건강
347850,디앤디파마텍
302440,SK바이오사이언스
319400,현대무벡스
111770,영원무역
017800,현대엘리베이터
035250,강원랜드
036460,한국가스공사
403870,HPSP
011780,금호석유화학
263750,펄어비스
031210,서울보증보험
058610,에스피지
011170,롯데케미칼
0009K0,에임드바이오
103140,풍산
018880,한온시스템
145020,휴젤
357780,솔브레인
237690,에스티팜
257720,실리콘투
097950,CJ제일제당
457190,이수스페셜티케미컬
004990,롯데지주
014680,한솔케미칼
030530,원익홀딩스
012750,에스원
004170,신세계
353200,대덕전자
068760,셀트리온제약
088350,한화생명
095340,ISC
204320,HL만도
489790,한화비전
071970,HD현대마린엔진
103590,일진전기
001720,신영증권
012510,더존비즈온
009970,영원무역홀딩스
383220,F&F
008930,한미사이언스
439260,대한조선
226950,올릭스
005290,동진쎄미켐
028670,팬오션
009420,한올바이오파마
001430,세아베스틸지주
026960,동서
035900,JYP Ent.
139130,iM금융지주
004370,농심
000240,한국앤컴퍼니
001450,현대해상
051600,한전KPS
005850,에스엘
139480,이마트
041510,에스엠
081660,미스토홀딩스
030000,제일기획
067310,하나마이크론
023530,롯데쇼핑
160190,하이젠알앤엠
064760,티씨케이
004800,효성
000120,CJ대한통운
084370,유진테크
002790,아모레퍼시픽홀딩스
475830,오름테라퓨틱
003690,코리안리
011210,현대위아
222800,심텍
323280,태성
098460,고영
290650,엘앤씨바이오
097230,HJ중공업
023590,다우기술
083650,비에이치아이
192820,코스맥스
336260,두산퓨얼셀
361610,SK아이이테크놀로지
069960,현대백화점
00680K,미래에셋증권2우B
282330,BGF리테일
018670,SK가스
010060,OCI홀딩스
099320,쎄트렉아이
458870,씨어스테크놀로지
047040,대우건설
445680,큐리옥스바이오시스템즈
065350,신성델타테크
178320,서진시스템
032350,롯데관광개발
462870,시프트업
476830,알지노믹스
483650,달바글로벌
039200,오스코텍
036930,주성엔지니어링
020150,롯데에너지머티리얼즈
140860,파크시스템스
437730,삼현
069620,대웅제약
007070,GS리테일
000155,두산우
006280,녹십자
348370,엔켐
008770,호텔신라
006040,동원산업
101490,에스앤에스텍
466100,클로봇
281740,레이크머티리얼즈
491000,리브스메드
090710,휴림로봇
375500,DL이앤씨
089030,테크윙
395400,SK리츠
017960,한국카본
085660,차바이오텍
073240,금호타이어
112610,씨에스윈드
003570,SNT다이내믹스
082270,젬백스
005070,코스모신소재
085620,미래에셋생명
034230,파라다이스
319660,피에스케이
298020,효성티앤씨
161890,한국콜마
007390,네이처셀
031980,피에스케이홀딩스
006360,GS건설
003380,하림지주
020560,아시아나항공
060370,LS마린솔루션
195940,HK이노엔
007310,오뚜기
388720,유일로보틱스
007810,코리아써키트
035760,CJ ENM
003540,대신증권
293490,카카오게임즈
120110,코오롱인더
032820,우리기술
232140,와이씨
001120,LX인터내셔널
005440,현대지에프홀딩스
397030,에이프릴바이오
007340,DN오토모티브
096530,씨젠
253450,스튜디오드래곤
080220,제주반도체
003090,대웅
095610,테스
000500,가온전선
115180,큐리언트
294870,HDC현대산업개발
204270,제이앤티씨
122870,와이지엔터테인먼트
077970,STX엔진
003530,한화투자증권
001800,오리온홀딩스
347700,스피어
030610,교보증권
218410,RFHIC
161580,필옵틱스
300720,한일시멘트
330590,롯데리츠
005300,롯데칠성
456160,지투지바이오
415640,KB발해인프라
174900,앱클론
000080,하이트진로
137400,피엔티
056080,유진로봇
484870,엠앤씨솔루션
131970,두산테스나
