title,link,press,date,summary,keywords,content
"하나금융, 작년 순이익 4조29억원 역대 최대…전년 대비 7.1%↑(종합)",https://n.news.naver.com/mnews/article/001/0015876515,헤럴드경제,2026-01-30 15:00,"하나금융그룹이 지난해 4조29억원의 순이익을 기록하며 역대 최대 실적을 달성했으며, 이는 전년 대비 7.1% 증가한 수치다. 비이자 이익이 크게 증가했으며, 이자 이익과 수수료 이익도 모두 상승하여 그룹 핵심 이익이 늘었다. 하나은행은 비이자 이익의 급증으로 실적 개선을 이끌었고, 배당소득 분리과세 요건을 충족하게 됐다. 또한 올해는 자사주 매입 및 소각 계획을 발표하고, 배당금도 전년 대비 증가했다.","하나금융,순이익,전년 대비,증가,비이자 이익,이자 이익,수수료 이익,배당,자사주 매입,배당금","작년 현금배당 1주당 4천105원…""배당소득 분리과세 요건 충족""
하나금융지주
[하나금융그룹 제공]
(서울=연합뉴스) 임지우 기자 = 하나금융그룹이 지난해 처음으로 4조원이 넘는 순이익을 내면서 역대 최대 실적을 거뒀다.
하나금융지주는 지난해 당기순이익(지배기업 지분 순이익 기준)이 4조29억원으로 집계됐다고 30일 공시했다.
기존 최대 실적이었던 2024년(3조7천388억원)보다 7.1% 늘어 사상 처음으로 연간 순이익이 4조원을 넘었다.
특히 비이자 이익이 2조2천133억원으로 전년보다 14.9%(2천873억원) 증가했다.
하나금융 관계자는 ""시장 변동성에 대한 탄력적 대응과 수익 포트폴리오 다각화, 비용 효율화 및 선제적 리스크 관리에 따른 결과""라고 말했다.
작년 4분기 실적만 따로 보면 하나금융 전체 순이익이 5천694억원으로 2024년 4분기(5천135억원)보다 11.0% 늘었다.
지난해 이자 이익과 수수료 이익을 합한 그룹 핵심 이익은 11조3천898억원으로 전년보다 5.2%(5천592억원) 증가했다.
이자 이익이 9조1천634억원으로 전년(8조7천610억원)보다 4.6% 증가했다. 수수료 이익은 2조2천264억원으로 전년 대비 7.6% 늘었다.
하나금융의 지난해 말 대손 비용률은 0.29%로 전년과 같은 수준이었다.
그룹 연체율은 0.52%로 전 분기보다 0.05%포인트(p) 하락했다.
계열사별로는 주력 계열사인 하나은행의 지난해 순이익이 3조7천475억원으로 전년보다 11.7% 증가했다.
비이자 이익이 1조 928억원으로 전년 대비 59.1% 증가해 실적 개선을 이끌었으며, 매매 평가익(1조1천441억원)과 수수료 이익(1조260억원)이 연간 기준 역대 최대를 기록했다.
하나금융 관계자는 ""외환·자산관리 수수료 증대 및 트레이딩 실적 개선, 퇴직연금 적립금 증가 등으로 인한 결과""라고 설명했다.
하나은행의 지난해 4분기 순이자마진(NIM)은 1.52%로 전년 동기(1.46%)보다 높아졌다.
비은행 관계사의 경우 하나카드가 2천177억원, 하나증권이 2천120억원, 하나캐피탈 531억원, 하나자산신탁 248억원, 하나생명 152억원의 순이익을 냈다.
하나금융 이사회는 올해 상반기 총 4천억원 규모의 자사주 매입·소각을 하겠다고 밝혔다.
1분기와 2분기에 각각 2천억원씩 자사주를 매입소각할 계획이다.
아울러 이사회는 2025년 기말 현금배당을 주당 1천366원으로 의결했다.
지난해 이미 지급된 분기 배당 2천739원을 포함한 현금배당은 보통주 1주당 4천105원으로, 전년 대비 주당 14%(505원) 증가했다.
총 현금 배당은 1조1천178억원으로 전년보다 10% 증가했으며, 배당 성향은 27.9%다.
이에 따라 하나금융은 배당소득 분리 과세가 적용되는 고배당 기업 요건을 충족하게 됐다고 밝혔다.
조세특례제한법에 따른 고배당 기업 요건은 전년 대비 총 현금 배당이 10% 이상 늘고 배당 성향이 25% 이상인 경우, 혹은 전년 대비 현금 배당 감소가 없고 배당 성향이 40% 이상인 경우다.
하나금융의 지난해 자사주 매입 7천541억원을 포함한 연간 주주환원율은 46.8%로 전년보다 9%p 상승했다.
wisefool@yna.co.kr"
[그래픽] LG전자 실적 추이,https://n.news.naver.com/mnews/article/001/0015876498,헤럴드경제,2026-01-30 15:00,"LG전자는 지난해 연결 기준 영업이익이 2조4천784억원으로 전년 대비 27.5% 감소했다고 발표했다. 이는 매출 감소와 주요 제품의 수익성 저하가 영향을 미친 것으로 보인다. 특히, 글로벌 경기 침체와 반도체 수요 감소가 주요 원인으로 지목된다. LG전자는 올해 인공지능과 자율주행 기술을 중심으로 사업 확장을 계획하고 있다. 주주들의 실적 개선에 대한 기대감도 높아지고 있다.","LG전자는,연결 기준,영업이익이 2조4천784억원으로,전년 대비 27.5% 감소,매출 감소,주요 제품의 수익성 저하,글로벌 경기 침체,반도체 수요 감소,인공지능,자율주행 기술,사업 확장,주주들의 실적 개선 기대","(서울=연합뉴스) 원형민 기자 = LG전자는 연결 기준 작년 한 해 영업이익이 2조4천784억원으로 전년보다 27.5% 감소한 것으로 잠정 집계됐다고 30일 공시했다.
circlemin@yna.co.kr
페이스북 tuney.kr/LeYN1 트위터 @yonhap_graphics"
하나증권 작년 영업이익 1천665억원…전년 대비 17.3%↑,https://n.news.naver.com/mnews/article/001/0015876483,헤럴드경제,2026-01-30 15:00,"하나증권의 작년 영업이익은 1,665억원으로 전년 대비 17.3% 증가했다. 매출은 14조9,702억원으로 18.4% 늘었지만, 순이익은 2,060억원으로 8% 줄었다. 4분기에는 영업손실이 178억원으로 전년 동기 대비 적자 폭이 감소했다. 이 분기의 매출은 4조4,545억원, 순이익은 377억원이었다.","1천665억원으로 전년보다,17.3% 증가,14조9천702억원으로 18.4% 증가,순이익 2,060억원으로 8% 줄,4분기 영업손실 178억원,4분기 매출 4조4,545억원,4분기 순이익 377억원","하나금융지주
[하나금융그룹 제공]
(서울=연합뉴스) 코스피 상장사 하나금융지주는 자회사 하나증권이 연결 기준 작년 한 해 영업이익 1천665억원으로 전년보다 17.3% 증가한 것으로 잠정 집계됐다고 30일 공시했다.
매출은 14조9천702억원으로 전년 대비 18.4% 증가했다. 순이익은 2천60억원으로 8% 줄었다.
4분기 영업손실은 178억원으로 전년 동기(538억원)와 비교해 적자 폭이 줄었다. 이 분기 매출과 순이익은 각각 4조4천545억원과 377억원이었다.
stock_news@yna.co.kr"
하나은행 작년 영업이익 5조98억원…전년 대비 10.2%↑,https://n.news.naver.com/mnews/article/001/0015876480,헤럴드경제,2026-01-30 15:00,"하나은행의 작년 연결 기준 영업이익이 5조98억원으로 전년 대비 10.2% 증가했다. 매출은 47조3천997억원으로 24.6% 감소했으나, 순이익은 3조7천630억원으로 11.7% 늘었다. 4분기 영업이익은 9천933억원으로 25.4% 증가했으며, 매출은 11조1천8억원, 순이익은 6천174억원이었다.","5조98억원,10.2% 증가,47조3천997억원,24.6% 감소,3조7천630억원,11.7% 증가,4분기,9천933억원,25.4% 증가,11조1천8억원,6천174억원","하나금융지주
[하나금융그룹 제공]
(서울=연합뉴스) 코스피 상장사 하나금융지주는 자회사 하나은행이 연결 기준 작년 한 해 영업이익 5조98억원으로 전년보다 10.2% 증가한 것으로 잠정 집계됐다고 30일 공시했다.
매출은 47조3천997억원으로 전년 대비 24.6% 감소했다. 순이익은 3조7천630억원으로 11.7% 늘었다.
4분기 영업이익은 9천933억원으로 전년 동기보다 25.4% 늘었다. 이 분기 매출과 순이익은 각각 11조1천8억원과 6천174억원이었다.
stock_news@yna.co.kr"
하나금융지주 작년 영업이익 5조3천509억원…전년 대비 10.2%↑,https://n.news.naver.com/mnews/article/001/0015876477,헤럴드경제,2026-01-30 15:00,"하나금융지주는 작년 연결 기준 영업이익이 5조3천509억원으로 전년 대비 10.2% 증가했다고 공시했다. 매출은 68조9천442억원으로 15.5% 감소했으나, 순이익은 4조366억원으로 7.1% 늘었다. 4분기 영업이익은 8천904억원으로 전년 동기 대비 48% 증가했으며, 시장 전망치와 비슷한 수준이었다.","5조3천509억원,10.2% 증가,4분기 영업이익,8천904억원,48% 증가,7.1% 늘었으며,15.5% 감소,4조366억원","하나금융지주
[하나금융그룹 제공]
(서울=연합뉴스) 코스피 상장사 하나금융지주는 연결 기준 작년 한 해 영업이익이 5조3천509억원으로 전년보다 10.2% 증가한 것으로 잠정 집계됐다고 30일 공시했다.
매출은 68조9천442억원으로 전년 대비 15.5% 감소했다. 순이익은 4조366억원으로 7.1% 늘었다.
4분기 영업이익은 8천904억원으로 전년 동기보다 48% 늘었다. 이 분기 매출과 순이익은 각각 17조1천492억원과 5천776억원이었다.
4분기 영업이익은 연합인포맥스가 집계한 시장 전망치 8천986억원에 부합했다.
stock_news@yna.co.kr"
대웅제약 ‘나보타’ 멕시코 수출 계약,https://n.news.naver.com/mnews/article/011/0004584921,서울경제,2026-01-30 14:55,"대웅제약은 멕시코 유통 파트너사 M8과 295억원 규모의 나보타 수출 계약을 체결했다. 이로써 멕시코, 브라질, 아르헨티나, 콜롬비아, 칠레 등 중남미 주요 시장에 모두 진출하게 됐다. M8은 이미 브라질에서 나보타를 성공적으로 런칭한 경험이 있다. 멕시코는 인구 대비 미용 시술 빈도가 낮지만 성장 가능성이 큰 시장으로 평가된다. 대웅제약은 중남미 20개국 중 17개국과 수출 계약을 맺었고, 13개국에서 제품을 출시했다.","대웅제약,나보타,295억원,m8과,수출,중남미,파트너사,브라질,17개국과,13개국에서,수출 계약","파트너사 M8과 계약…295억원 규모
대웅제약 ‘나보타’. 사진 제공=대웅제약
대웅제약(069620)
은 멕시코 유통 파트너사 M8과 이 지역 나보타 수출 계약을 체결했다고 30일 밝혔다. 규모는 295억원 수준이다.
계약에 따라 대웅제약은 국제미용성형학회 통계 기준 중남미 상위 5대 미용·성형 시장인 멕시코와 브라질, 아르헨티나, 콜롬비아, 칠레 등에 모두 진출했다. 회사는 중남미 20개국 중 17개국과 나보타 수출 계약을 체결했고 이 중 13개국에서 제품이 출시됐다.
M8은 2018년부터 대웅제약과 협력해 브라질 시장에 나보타를 론칭한 바 있다. 윤준수 대웅제약 나보타사업본부장은 “멕시코는 인구 대비 미용 시술 빈도가 아직 한국보다 낮은 수준이지만, 그만큼 성장 여력이 크고 프리미엄 톡신 시장의 잠재력이 높다는 점에서 매우 매력적인 시장”이라고 말했다."
"동화약품, 장재원 연구개발본부장 선임",https://n.news.naver.com/mnews/article/011/0004584920,서울경제,2026-01-30 14:55,동화약품은 연구개발본부장으로 장재원 전무를 선임했다. 장 전무는 다양한 제약회사에서 연구개발 및 개발부문장 역할을 수행했다. 그는 신약 개발과 영업 전 과정을 총괄한 경험을 바탕으로 동화약품의 R&D 효율성을 높일 계획이다. 또한 국가신약개발재단 평가위원 등 여러 직책을 맡고 있다. 장 전무는 동화약품이 글로벌 헬스케어 기업으로 도약하는 데 기여하겠다는 의지를 밝혔다.,"동화약품,장재원,개발본부장,연구개발,신약개발,글로벌,헬스케어,유유제약,국가신약개발재단,MBA,연세대학교,경영학,석사","“R&D 효율 높일 것”
장재원 동화약품 연구개발본부장. 사진 제공=동화약품
동화약품(000020)
은 연구개발본부장에 장재원 전무를 선임했다고 30일 밝혔다. 장 전무는 연구개발본부장과 개발부문장을 겸임하며 연구개발(R&D) 전반을 총괄할 예정이다.
장 전무는 삼육대학교 약학대학을 졸업하고 경희대학교 약학대학에서 석·박사 학위를 취득했다. 이후 성균관대학교에서 경영학 석사(MBA), 연세대학교에서 법학 석사를 취득했다. 2000년 한미약품 학술개발부에 입사한 것을 시작으로 일화 의약연구실 실장, 유유제약 개발본부장, 대웅제약 개발본부장 등을 역임했다. 2022년부터는 유유제약에서 개발·영업본부장과 중앙연구소장을 역임하며 신약 개발부터 영업까지 전 과정을 총괄했다.
이 외에도 2022년부터 국가신약개발재단 국가연구개발과제 평가위원으로 활동하고 있으며 고려대학교 의료기술지주 자문위원, 과학기술사업화진흥원 전문위원 등으로 활동 중이다.
장 전무는 “시간·비용 효율성을 감안한 효과적인 R&D로 동화약품이 글로벌 헬스케어 기업으로 나아가는 데 있어 첨병 역할을 할 수 있도록 연구개발의 완성도를 높여나갈 계획“이라며 “환자들에게 실질적인 가치를 제공할 수 있는 제품들을 다수 선보일 수 있도록 최선을 다하겠다”라고 밝혔다"
"KB운용 RISE AI&로봇 ETF, 순자산 5000억원 돌파",https://n.news.naver.com/mnews/article/009/0005629912,서울경제,2026-01-30 14:55,"KB자산운용의 RISE AI&로봇 ETF 순자산이 5000억원을 넘으며 급성장하고 있다. 정부의 AI·로봇 정책 지원과 CES 2026에서의 피지컬 AI 공식화로 투자 기대감이 커졌다. 이 ETF는 AI 소프트웨어와 하드웨어 관련 기업에 투자하며, 중소형 성장주에 강점을 두고 있다. 1개월 수익률 41.47%, 6개월 수익률 93.64%로 우수한 성과를 보이고 있다. 육동휘 본부장은 AI와 로봇이 중장기 핵심 산업으로 자리잡을 것이라고 밝혔다.","KB자산운용,RISE,AI,로봇,ETF,순자산,정책,CES,1개월,6개월,수익률,성장주,핵심,밸류체인,투자","정책·CES·피지컬AI 트렌드에 폭발적 성장
KB자산운용 RISE AI&로봇 ETF 순자산 5000억원 돌파. 사진=KB자산운용
KB자산운용은 RISE AI&로봇 ETF가 지난 28일 기준 순자산 5000억원을 돌파했다고 30일 밝혔다. 지난 21일 순자산 4000억원을 넘어선 지 불과 5영업일만이다.
정부가 추진 중인 AI·로봇 대전환 정책, 100조원 규모 국가 AI 펀드 조성, 휴머노이드 로봇 클러스터 구축, 데이터 인프라 확충, 규제 완화, 전문 인재 양성 등 정책 모멘텀이 본격화하면서 AI·로봇 산업 전반을 둘러싼 투자 기대감은 빠르게 확산하는 추세다. 여기에 ‘CES 2026’을 통해 피지컬 AI(Physical AI) 시대 개막이 공식화하면서 휴머노이드 로봇을 포함한 차세대 로봇 산업도 한층 각광받고 있다.
2023년 출시한 RISE AI&로봇 ETF는 국내 최초의 휴머노이드 로봇 콘셉트 ETF다. 로봇 두뇌에 해당하는 AI 소프트웨어와 몸통 역할의 하드웨어를 아우르는 핵심 밸류체인 전반에 투자하는 구조를 갖췄다. AI, 로봇·자동화, 반도체·전자제품, 바이오 산업 등 혁신 산업 밸류체인 전반에 걸쳐 산업 성장의 수혜가 예상되는 대표 기업에 분산 투자하는 점이 특징이다.
특히 기존 국내 로봇 ETF가 대형주 중심 포트폴리오로 구성된 것과 달리 RISE AI&로봇 ETF는 종목 편입 시 매출 관련도 기준을 적용해 산업 연관성이 높은 순수 AI·로봇 기업들에 투자한다. 이를 통해 산업 성장과 연동성이 높은 포트폴리오를 구축했다. 코스닥 종목 비중을 80% 이상으로 확대하면서 중소형 성장주까지 폭넓게 담아내 차별성을 강화한 점도 눈에 띈다.
30일 기준 주요 편입 종목은 에스피지(6.54%), 뉴로메카(6.45%), 레인보우로보틱스(5.92%), 두산로보틱스(5.80%), NAVER(4.78%), 휴림로봇(4.74%), 현대오토에버(4.59%), 로보티즈(4.39%), 에스오에스랩(4.24%), 루닛(4.14%) 등이다.
운용 성적표도 우수하다. 최근 1개월, 6개월 수익률은 각각 41.47%, 93.64%다.
육동휘 KB자산운용 ETF상품마케팅본부장은 “AI와 로봇은 단기 유행이 아닌 중장기 핵심 산업으로 구조화되고 있다”며 “RISE AI&로봇 ETF는 정부 정책과 글로벌 기업의 움직임이 동시에 맞물리면서 장기적으로 폭발적인 성장이 기대된다”고 말했다."
주식 거래 20%가 출퇴근길에…프리·애프터서 일평균 7.8조 원,https://n.news.naver.com/mnews/article/011/0004584919,서울경제,2026-01-30 14:55,"국내 주식시장에서 출퇴근 시간에 거래되는 금액이 급증하고 있다. 1월 일평균 거래대금이 7조 8000억 원에 달하며, 프리마켓과 애프터마켓 거래 비중이 12.8%로 증가했다. 특히 1월 20일에는 이 비중이 22.5%까지 치솟았다. 이는 포모 심리와 미국 증시 대응 수요가 증가한 결과로 분석된다. 주식 거래 활동 계좌 수는 1억 개에 가까워졌다.","국내 주식시장,일평균 거래대금,프리마켓,애프터마켓,거래대금,비중,포모,미국 증시,거래 활동 계좌 수","이달 일평균 거래대금 전월比 3배
이달 프리·애프터 비중 평균 12.8%
20일에는 22.5% 차지하며 최고기록
FOMO 심리 + 美증시 대응 수요 풀이
30일 서울 하나은행 본점 딜링룸에서 딜러들이 업무를 보고 있다. 연합뉴스
국내 증시가 사상 최고치를 경신하면서 출퇴근길에 주식거래에 나서는 직장인들의 수가 급증한 것으로 나타났다. 이달 프리마켓·애프터마켓의 거래대금 비중이 처음으로 20%를 돌파한 날도 나왔다.
30일 금융투자 업계에 따르면 대체거래소(ATS) 넥스트레이드(NXT)가 운영하는 프리마켓(오전 8시∼8시 50분)과 애프터마켓(오후 3시 40분∼8시)의 1월(1∼29일) 일평균 거래대금은 7조 8064억 원으로 역대 최고치를 기록했다. 이는 지난달(2조 5387억 원)의 세 배가 넘는 금액이다.
같은 기간 프리마켓 일평균 거래대금은 1조 4631억 원에서 4조 2689억 원으로 192%, 애프터마켓 일평균 거래대금은 1조 756억 원에서 3조 5375억 원으로 229% 증가했다.
국내 주식시장 전체에서 프리마켓과 애프터마켓이 차지하는 비중도 큰 폭으로 늘었다. 지난달의 프리·애프터마켓 일평균 거래대금이 국내 주식시장 일평균 거래대금(32조 9615억 원)에서 차지하는 비중은 7.7%에 그쳤으나 이달(1∼29일)에는 12.8%로 껑충 뛰어올랐다.
특히 이달 20일에는 프리마켓과 애프터마켓 거래대금이 16조 2876억 원에 달하면서 국내 주식시장 전체 거래대금(72조 4154억 원)의 22.5%를 차지하는 기록을 세웠다.
이 같은 추세는 이번 주들어 코스닥이 1000선을 넘고 코스피도 종가 기준 5000선을 넘어서면서 강화하고 있다. 26∼29일 4거래일간의 프리·애프터마켓 거래대금이 전체 주식시장에서 차지하는 비중은 13.5%로 집계됐다.
이는 지난해 75% 넘게 오른 코스피가 새해 들어서도 견조하게 상승세를 이어가자 ‘포모(FOMO·기회상실 공포)’ 심리에 주식투자에 뛰어드는 직장인들이 늘어난 결과일 수 있다. 미국 뉴욕 증시의 영향이 큰 국내 증시 특성상 한 시간 빨리 열리는 프리마켓을 활용, 글로벌 이슈에 더 신속하게 대응하려는 수요도 작용했을 것으로 보인다.
주식 거래 활동 계좌 수는 28일 기준 9992만 2463개로 1억 개를 눈앞에 뒀다."
"진격의 K방산...현대로템, 영업익 첫 ‘1조 클럽’",https://n.news.naver.com/mnews/article/011/0004584917,서울경제,2026-01-30 14:55,"현대로템의 지난해 영업이익이 처음으로 1조 원을 돌파했다. 이는 방산 부문과 철도 부문의 동반 호조에 힘입은 결과로, 해외 수출 증대와 국내 수주 물량 실적 반영이 주요인이다. 특히 K2 전차 수출 계약이 큰 영향을 미쳤으며, 철도 부문에서도 여러 대형 사업이 성과를 냈다. 현대로템은 지난해 말 기준으로 수주 잔고가 29조 7735억 원에 달하며, 부채비율은 206%로 안정적인 재무구조를 유지하고 있다. 앞으로도 견고한 수주 성적을 바탕으로 중장기 성장을 계획하고 있다.","현대로템,1조,영업이익,K2 전차,방산,철도,수주,해외 수출,국내 수주,재무구조,중장기 성장","작년 영업익 1조 56억원...전년比 120% 급증
방산, 해외 수출 늘리며 가파른 이익 성장
철도도 앞선 수주 물량 실적 반영 본격화돼
현대로템의 K2 전차. 사진 제공=현대로템
현대로템(064350)
이 방산·철도 부문의 동반 호조에 힘입어 지난해 영업이익이 처음으로 1조 원을 돌파했다.
현대로템은 지난해 영업이익(연결 기준)이 1조 56억 원으로 전년 대비 120.3% 급증했다고 30일 공시했다. 현대로템의 연간 영업이익이 1조 원을 넘은 것은 이번이 처음이다.
매출은 5조 8390억 원으로 같은 기간 33.4% 늘어났다. 순이익은 7705억 원으로 전년 대비 90.1% 증가했다.
현대로템의 4분기 영업이익의 경우 2675억 원으로 전년 동기 대비 65.4% 늘었다. 같은 기간 매출과 순이익은 각각 1조 6256억 원과 2254억 원을 기록했다.
현대로템은 2022년을 기점으로 K2 전차 등 해외 수출을 늘리면서 가파른 이익 성장세를 기록하고 있다. 현대로템의 연간 영업이익은 2022년 1500억 원 수준에서 2023년 2100억 원, 2024년 4600억 원 등으로 매년 증가하고 있다. 지난해 7월에는 폴란드와 약 9조 원 규모의 K2 전차 2차 공급 계약을 체결했다.
철도 부문에서도 앞서 수주한 물량의 실적 반영이 본격적으로 이뤄지고 있다. 현대로템 측은 “국내 고속철 및 우주베키스탄 고속철 생산 물량, 호주 QTMP 전동차 프로젝트가 본격화하면서 수익성이 커졌다”고 설명했다.
현대로템은 지난해 말 기준 수주 잔고는 전년 동기 대비 58.7%(11조 원) 증가한 29조 7735억 원으로 집계됐다. 철도 부문은 모로코 2층 전동차(2조 2000억 원), 대장홍대선(1조 3000억 원), GTX-B노선(5922억 원), 대만 타이중(4249억 원) 등 국내외에서 역대 최대인 6조 원대의 수주 실적을 기록했다.
방산과 에코플랜트 부문도 폴란드 K2 전차 2차 수출 계약과 부산 항만 AGV 계약 체결 등에 힘입어 양호한 수주잔고를 나타냈다.
현대로템은 견고한 수주 성적을 바탕으로 건전한 재무 구조를 유지하고 중장기적 성장 기반을 마련하겠다는 계획이다. 지난해 말 기준 부채비율은 206%(선수금 제외 58.5%)로, 현금성 자산이 9084억 원에 육박해 사실상 무차입 경영 구조를 지속하고 있다는 설명이다.
현대로템 관계자는 “안정적 재무구조를 지속적으로 유지해 대외 불확실성이 높은 상황에서 경영 안정성을 높일 계획”이라고 말했다."
